Source,Target,Type,Weight
Ben Achour Malik,Marie Christine Marghem,Undirected,1
Marie Christine Marghem,Ben Achour Malik,Undirected,1
Melissa Depraetere,Vicky Reynaert,Undirected,1
Gilles Vanden Burre,Sophie Rohonyi,Undirected,1
Vanessa Matz,Georges Dallemagne,Undirected,1
Guillaume Defossé,Séverine de Laveleye,Undirected,1
Gilles Vanden Burre,Cécile Cornet,Undirected,1
Nahima Lanjri,Koen Geens,Undirected,1
NawalFarih,Els Van Hoof,Undirected,1
André Flahaut,Nahima Lanjri,Undirected,1
André Flahaut,Guillaume Defossé,Undirected,1
André Flahaut,Ahmed Laaouej,Undirected,1
Jef Van den Bergh ,Nathalie Muylle,Undirected,1
Sarah Schlitz,Séverine de Laveleye,Undirected,1
Raoul Hedebouw,Gaby Colebunders,Undirected,1
Koen Geens,Nathalie Muylle,Undirected,1
Barbara Pas,Wouter Vermeersch,Undirected,1
NawalFarih,Nathalie Muylle,Undirected,1
Servais Verherstraeten,Melissa Depraetere,Undirected,1
Tomas Roggeman,Darya Safai MP,Undirected,1
Nathalie Muylle,Jef Van den Bergh ,Undirected,1
Nathalie Muylle,Koen Geens,Undirected,1
Gaby Colebunders,Raoul Hedebouw,Undirected,1
Georges Dallemagne,Vanessa Matz,Undirected,1
Gilles Vanden Burre,Kristof Calvo,Undirected,1
Sander Loones,Catherine Fonck,Undirected,1
Cécile Cornet,Gilles Vanden Burre,Undirected,1
Guillaume Defossé,André Flahaut,Undirected,1
Frieda Gijbels,Robby De Caluwé,Undirected,1
Darya Safai MP,Tomas Roggeman,Undirected,1
Sarah Schlitz,Claire Hugon,Undirected,1
Kim Buyst,Wouter De Vriendt,Undirected,1
Nabil Boukili,Albert Vicaire,Undirected,1
Ben Segers,Yngvild Ingels,Undirected,1
